,Year,Picture,Laureate,Country,Language(s),Citation,Genre(s)
53,1952,,François Mauriac (1885 – 1970),France,French,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""[59]","novel, short story"
54,1953,,Winston Churchill (1874 – 1965),United Kingdom,English,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""[60]","history, essay, memoirs"
55,1954,,Ernest Hemingway (1899 – 1961),United States,English,"""for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style""[61]","novel, short story, screenplay"
56,1955,,Halldór Laxness (1902 – 1998),Iceland,Icelandic,"""for his vivid epic power, which has renewed the great narrative art of Iceland""[62]","novel, short story, drama, poetry"
57,1956,,Juan Ramón Jiménez (1881 – 1958),Spain,Spanish,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""[63]",poetry
58,1957,,Albert Camus (1913 – 1960),France(Born in French Algeria),French,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""[64]","novel, short story, drama, philosophy, essay"
59,1958,,Boris Pasternak (1890 – 1960),Soviet Union,Russian,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""[65]","novel, poetry, translation"
60,1959,,Salvatore Quasimodo (1890 – 1960),Italy,Italian,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""[66]",poetry
61,1960,,Saint-John Perse (1887 – 1975),France(Born in Guadeloupe),French,"""for the soaring flight and the evocative imagery of his poetry, which in a visionary fashion reflects the conditions of our time""[67]",poetry
62,1961,,Ivo Andrić (1892 – 1975),Yugoslavia(Born in Austria-Hungary),Serbo-Croatian,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""[68]","novel, short story"
63,1962,,John Steinbeck (1902 – 1968),United States,English,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""[69]","novel, short story, screenplay"
64,1963,,Giorgos Seferis (1900 – 1971),Greece(Born in the Ottoman Empire),Greek,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""[70]","poetry, essay, memoirs"
65,1964,,Jean-Paul Sartre (1905 – 1980),France,French,"""for his work, which rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""[71]","novel, short story, philosophy, drama, literary criticism, screenplay"
66,1965,,Mikhail Sholokhov (1905 – 1984),Soviet Union,Russian,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""[72]",novel
67,1966,,Shmuel Yosef Agnon (1888 – 1970),Israel(Born in Austria-Hungary),Hebrew,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""[73]","novel, short story"
68,1966,,Nelly Sachs (1891 – 1970),Germany Sweden(Born in Germany),German,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""[73]","poetry, drama"
69,1967,,Miguel Ángel Asturias (1899 – 1974),Guatemala,Spanish,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""[74]","novel, poetry"
70,1968,,Yasunari Kawabata (1899 – 1972),Japan,Japanese,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""[75]","novel, short story"
71,1969,,Samuel Beckett (1906 – 1989),Ireland,French and English,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""[76]","novel, drama, poetry"
72,1970,,Aleksandr Solzhenitsyn (1918 – 2008),Soviet Union,Russian,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""[77]",novel
73,1971,,Pablo Neruda (1904 – 1973),Chile,Spanish,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""[78]",poetry
74,1972,,Heinrich Böll (1917 – 1985),West Germany,German,"""for his writing, which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""[79]","novel, short story"
75,1973,,Patrick White (1912 – 1990),Australia(Born in the United Kingdom),English,"""for an epic and psychological narrative art, which has introduced a new continent into literature""[80]","novel, short story, drama"
76,1974,,Eyvind Johnson (1900 – 1976),Sweden,Swedish,"""for a narrative art, farseeing in lands and ages, in the service of freedom""[81]",novel
77,1974,,Harry Martinson (1904 – 1978),Sweden,Swedish,"""for writings that catch the dewdrop and reflect the cosmos""[81]","poetry, novel, drama"
78,1975,,Eugenio Montale (1896 – 1981),Italy,Italian,"""for his distinctive poetry, which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""[82]",poetry
79,1976,,Saul Bellow (1915 – 2005),United States(Born in Canada),English,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""[83]","novel, short story"
80,1977,,Vicente Aleixandre (1898 – 1984),Spain,Spanish,"""for a creative poetic writing, which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""[84]",poetry
81,1978,,Isaac Bashevis Singer (1902 – 1991),United States Poland,Yiddish,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""[85]","novel, short story, memoirs"
82,1979,,Odysseas Elytis (1911 – 1996),Greece,Greek,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""[86]","poetry, essay"
83,1980,,Czesław Miłosz (1911 – 2004),United States Poland,Polish,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""[87]","poetry, essay"
84,1981,,Elias Canetti (1905 – 1994),United Kingdom(Born in Bulgaria),German,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""[88]","novel, drama, memoirs, essay"
85,1982,,Gabriel García Márquez (1927 – 2014),Colombia,Spanish,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""[89]","novel, short story, screenplay"
86,1983,,William Golding (1911 – 1993),United Kingdom,English,"""for his novels, which with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""[90]","novel, poetry, drama"
87,1984,,Jaroslav Seifert (1901 – 1986),Czechoslovakia(Born in Austria-Hungary),Czech,"""for his poetry, which endowed with freshness, and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""[91]",poetry
88,1985,,Claude Simon (1913 – 2005),France(Born in French Madagascar),French,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""[92]","novel, literary criticism"
89,1986,,Wole Soyinka (b. 1934),Nigeria,English,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""[93]","drama, novel, poetry, screenplay"
90,1987,,Joseph Brodsky (1940 – 1996),United States(Born in the Soviet Union),Russian and English,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""[94]","poetry, essay"
91,1988,,Naguib Mahfouz (1911 – 2006),Egypt,Arabic,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""[95]","novel, short story"
92,1989,,Camilo José Cela (1916 – 2002),Spain,Spanish,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""[96]","novel, short story, essay, poetry"
93,1990,,Octavio Paz (1914 – 1998),Mexico,Spanish,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""[97]","poetry, essay"
94,1991,,Nadine Gordimer (1923 – 2014),South Africa,English,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""[98]","novel, short story, essay, drama"
